2023-06-06 06:14:56.894939|INFO    |VirtualServerBase|1  |listening on 0.0.0.0:9987, [::]:9987
2023-06-06 06:14:56.897444|WARNING |VirtualServer |1  |--------------------------------------------------------
2023-06-06 06:14:56.897444|WARNING |VirtualServer |1  |ServerAdmin privilege key created, please use the line below
2023-06-06 06:14:56.897444|WARNING |VirtualServer |1  |token=EXRN582UEkZXSKF7RrZ5O1cOz28SbLC9+6Anoihx
2023-06-06 06:14:56.897444|WARNING |VirtualServer |1  |--------------------------------------------------------
2023-06-06 06:15:55.682984|INFO    |VirtualServer |1  |client 'Yeeeeee09'(id:3) was added to servergroup 'Server Admin'(id:6) by client 'server'(id:0)
2023-06-06 06:15:55.706546|INFO    |VirtualServer |1  |client 'Yeeeeee09'(id:3) used privilege key 'EXRN582UEkZXSKF7RrZ5O1cOz28SbLC9+6Anoihx' and was added to servergroup 'Server Admin'(id:6)
2023-06-06 06:18:39.564474|INFO    |VirtualServer |1  |client 'Matrix_79'(id:4) was added to servergroup 'Server Admin'(id:6) by client 'Yeeeeee09'(id:3)
2023-06-06 06:21:25.148708|INFO    |VirtualServer |1  |client 'Yeeeeee09'(id:3) was added to servergroup 'Normal'(id:7) by client 'Yeeeeee09'(id:3)
2023-06-06 06:21:37.671967|INFO    |VirtualServer |1  |client 'Matrix_79'(id:4) was removed from servergroup 'Server Admin'(id:6) by client 'Yeeeeee09'(id:3)
2023-06-06 06:22:55.332067|INFO    |VirtualServer |1  |client 'Matrix_79'(id:4) was added to servergroup 'Server Admin'(id:6) by client 'Yeeeeee09'(id:3)
2023-06-06 06:23:05.766740|INFO    |VirtualServer |1  |servergroup 'Owner'(id:9) was added by 'Yeeeeee09'(id:3)
2023-06-06 06:23:05.779809|INFO    |VirtualServer |1  |permission 'i_group_auto_update_type'(id:149) with values (value:45, negated:0, skipchannel:0) was added by 'Yeeeeee09'(id:3) to servergroup 'Owner'(id:9)
2023-06-06 06:23:05.779809|INFO    |VirtualServer |1  |permission 'i_client_talk_power'(id:221) with values (value:75, negated:0, skipchannel:0) was added by 'Yeeeeee09'(id:3) to servergroup 'Owner'(id:9)
2023-06-06 06:23:05.779809|INFO    |VirtualServer |1  |permission 'i_client_poke_power'(id:223) with values (value:75, negated:0, skipchannel:0) was added by 'Yeeeeee09'(id:3) to servergroup 'Owner'(id:9)
2023-06-06 06:23:05.780808|INFO    |VirtualServer |1  |permission 'i_client_max_clones_uid'(id:176) with values (value:10, negated:0, skipchannel:0) was added by 'Yeeeeee09'(id:3) to servergroup 'Owner'(id:9)
